detectorid,starttime,volume,speed,occupancy,status
1130,2010-07-20 02:07:40-07,0,-1,0,0
1130,2010-07-20 02:08:00-07,1,59,1,2
1130,2010-07-20 02:08:20-07,0,-1,0,0
1130,2010-07-20 02:08:40-07,2,71,2,2
1130,2010-07-20 02:09:00-07,1,58,1,2
1130,2010-07-20 02:09:20-07,1,69,1,2
1130,2010-07-20 02:09:40-07,0,-1,0,0
1130,2010-07-20 02:10:00-07,0,-1,0,0
1130,2010-07-20 02:10:20-07,2,59,3,2
1130,2010-07-20 02:10:40-07,0,-1,0,0
1130,2010-07-20 02:11:00-07,0,-1,0,0
1130,2010-07-20 02:11:20-07,1,62,1,2
1130,2010-07-20 02:11:40-07,0,-1,0,0
1130,2010-07-20 02:12:00-07,0,-1,0,0
1130,2010-07-20 02:12:20-07,1,51,1,2
1130,2010-07-20 02:12:40-07,0,-1,0,0
1130,2010-07-20 02:13:00-07,1,51,1,2
1130,2010-07-20 02:13:20-07,1,58,1,2
1130,2010-07-20 02:13:40-07,2,58,1,2
1130,2010-07-20 02:14:00-07,0,-1,0,0
1130,2010-07-20 02:14:20-07,0,-1,0,0
1130,2010-07-20 02:14:40-07,1,58,1,2
1130,2010-07-20 02:15:00-07,1,61,1,2
1130,2010-07-20 02:15:20-07,2,58,2,2
1130,2010-07-20 02:15:40-07,1,58,2,2
1130,2010-07-20 02:16:00-07,1,59,1,2
1130,2010-07-20 02:16:20-07,0,-1,0,0
1130,2010-07-20 02:16:40-07,1,58,1,2
1130,2010-07-20 02:17:00-07,1,58,2,2
1130,2010-07-20 02:17:20-07,0,-1,0,0
1130,2010-07-20 02:17:40-07,2,63,2,2
1130,2010-07-20 02:18:00-07,2,53,3,2
1130,2010-07-20 02:18:20-07,1,45,1,2
1130,2010-07-20 02:18:40-07,0,-1,0,0
1130,2010-07-20 02:19:00-07,2,55,3,2
1130,2010-07-20 02:19:20-07,2,58,4,2
1130,2010-07-20 02:19:40-07,0,-1,0,0
1130,2010-07-20 02:20:00-07,0,-1,0,0
1130,2010-07-20 02:20:20-07,1,58,1,2
1130,2010-07-20 02:20:40-07,0,-1,0,0
1130,2010-07-20 02:21:00-07,0,-1,0,0
1130,2010-07-20 02:21:20-07,1,58,1,2
1130,2010-07-20 02:21:40-07,1,68,1,2
1130,2010-07-20 02:22:00-07,3,62,5,2
1130,2010-07-20 02:22:20-07,0,-1,0,0
1130,2010-07-20 02:22:40-07,1,58,1,2
1130,2010-07-20 02:23:00-07,0,-1,0,0
1130,2010-07-20 02:23:20-07,0,-1,0,0
1130,2010-07-20 02:23:40-07,1,59,1,2
1130,2010-07-20 02:24:00-07,0,-1,0,0
1130,2010-07-20 02:24:20-07,0,-1,0,0
1130,2010-07-20 02:24:40-07,2,60,3,2
1130,2010-07-20 02:25:00-07,0,-1,0,0
1130,2010-07-20 02:25:20-07,2,64,2,2
1130,2010-07-20 02:25:40-07,0,-1,0,0
1130,2010-07-20 02:26:00-07,0,-1,0,0
1130,2010-07-20 02:26:20-07,1,58,1,2
1130,2010-07-20 02:26:40-07,0,-1,0,0
1130,2010-07-20 02:27:00-07,1,62,1,2
1130,2010-07-20 02:27:20-07,1,59,1,2
1130,2010-07-20 02:27:40-07,0,-1,0,0
1130,2010-07-20 02:28:00-07,0,-1,0,0
1130,2010-07-20 02:28:20-07,0,-1,0,0
1130,2010-07-20 02:28:40-07,1,58,1,2
1130,2010-07-20 02:29:00-07,0,-1,0,0
1130,2010-07-20 02:29:20-07,1,68,1,2
1130,2010-07-20 02:29:40-07,2,66,2,2
1130,2010-07-20 02:30:00-07,1,72,1,2
1130,2010-07-20 02:30:20-07,0,-1,0,0
1130,2010-07-20 02:30:40-07,0,-1,0,0
1130,2010-07-20 02:31:00-07,0,-1,0,0
1130,2010-07-20 02:31:20-07,1,51,1,2
1130,2010-07-20 02:31:40-07,2,51,3,2
1130,2010-07-20 02:32:00-07,1,72,1,2
1130,2010-07-20 02:32:20-07,0,-1,0,0
1130,2010-07-20 02:32:40-07,1,69,1,2
1130,2010-07-20 02:33:00-07,1,72,1,2
1130,2010-07-20 02:33:20-07,1,69,1,2
1130,2010-07-20 02:33:40-07,1,61,1,2
1130,2010-07-20 02:34:00-07,0,-1,0,0
1130,2010-07-20 02:34:20-07,0,-1,0,0
1130,2010-07-20 02:34:40-07,0,-1,0,0
1130,2010-07-20 02:35:00-07,0,-1,0,0
1130,2010-07-20 02:35:20-07,0,-1,0,0
1130,2010-07-20 02:35:40-07,1,59,1,2
1130,2010-07-20 02:36:00-07,3,49,5,2
1130,2010-07-20 02:36:20-07,1,69,1,2
1130,2010-07-20 02:36:40-07,1,52,1,2
1130,2010-07-20 02:37:00-07,0,-1,0,0
1130,2010-07-20 02:37:20-07,1,90,1,2
1130,2010-07-20 02:37:40-07,0,-1,0,0
1130,2010-07-20 02:38:00-07,0,-1,0,0
1130,2010-07-20 02:38:20-07,3,57,4,2
1130,2010-07-20 02:38:40-07,0,-1,0,0
1130,2010-07-20 02:39:00-07,1,69,1,2
1130,2010-07-20 02:39:20-07,1,51,1,2
1130,2010-07-20 02:39:40-07,0,-1,0,0
1130,2010-07-20 02:40:00-07,2,65,2,2
1130,2010-07-20 02:40:20-07,0,-1,0,0
1130,2010-07-20 02:40:40-07,1,51,3,2
1130,2010-07-20 02:41:00-07,1,61,1,2
1130,2010-07-20 02:41:20-07,1,58,2,2
1130,2010-07-20 02:41:40-07,7,48,11,2
1130,2010-07-20 02:42:00-07,1,61,1,2
1130,2010-07-20 02:42:20-07,0,-1,0,0
1130,2010-07-20 02:42:40-07,1,62,1,2
1130,2010-07-20 02:43:00-07,4,64,8,2
1130,2010-07-20 02:43:20-07,0,-1,0,0
1130,2010-07-20 02:43:40-07,0,-1,0,0
1130,2010-07-20 02:44:00-07,3,52,7,2
1130,2010-07-20 02:44:20-07,1,62,1,2
1130,2010-07-20 02:44:40-07,4,65,6,2
1130,2010-07-20 02:45:00-07,2,56,3,2
1130,2010-07-20 02:45:20-07,1,69,1,2
1130,2010-07-20 02:45:40-07,1,69,1,2
1130,2010-07-20 02:46:00-07,1,59,1,2
1130,2010-07-20 02:46:20-07,3,58,4,2
1130,2010-07-20 02:46:40-07,0,-1,0,0
1130,2010-07-20 02:47:00-07,0,-1,0,0
1130,2010-07-20 02:47:20-07,2,59,6,2
1130,2010-07-20 02:47:40-07,1,61,1,2
1130,2010-07-20 02:48:00-07,0,-1,0,0
1130,2010-07-20 02:48:20-07,1,53,1,2
1130,2010-07-20 02:48:40-07,1,54,6,2
1130,2010-07-20 02:49:00-07,3,63,5,2
1130,2010-07-20 02:49:20-07,1,52,0,3
1130,2010-07-20 02:49:40-07,1,53,4,2
1130,2010-07-20 02:50:00-07,1,61,1,2
1130,2010-07-20 02:50:20-07,0,-1,0,0
1130,2010-07-20 02:50:40-07,1,69,1,2
1130,2010-07-20 02:51:00-07,1,58,1,2
1130,2010-07-20 02:51:20-07,2,62,3,2
1130,2010-07-20 02:51:40-07,0,-1,0,0
1130,2010-07-20 02:52:00-07,0,-1,0,0
1130,2010-07-20 02:52:20-07,2,51,3,2
1130,2010-07-20 02:52:40-07,1,62,1,2
1130,2010-07-20 02:53:00-07,0,-1,0,0
1130,2010-07-20 02:53:20-07,1,61,1,2
1130,2010-07-20 02:53:40-07,0,-1,0,0
1130,2010-07-20 02:54:00-07,2,64,3,2
1130,2010-07-20 02:54:20-07,1,54,1,2
1130,2010-07-20 02:54:40-07,1,53,1,2
1130,2010-07-20 02:55:00-07,0,-1,0,0
